Tasks,Atualizada em,Nível de esforço,Prazo,Prioridade,Responsável,Status,Tipo de tarefa
[Fase 3] Listagem de resíduos / Relatórios (Resíduos e Materiais),17 de maio de 2026 02:40,,28/02/2025,,Carlos Mafra,Em andamento,
[Fase 1] Critério de Aceitação,17 de maio de 2026 02:40,Média,12/05/2026,Alta,,Concluído,💅 Aperfeiçoar
[Fase 4] Testes do backend,17 de maio de 2026 02:40,,,,caio.pelizch@sempreceub.com,Concluído,
[Fase 1] Controle de usuários,17 de maio de 2026 02:40,,,,caio.pelizch@sempreceub.com,Concluído,
[Fase 5] Evidências Práticas,17 de maio de 2026 02:40,,,,,Em andamento,
[Fase 1] Cadastro de materiais,17 de maio de 2026 02:40,,,,,Não iniciado,
[Fase 3] Registro resíduo / Cadastro de materiais / Controle de estoque,17 de maio de 2026 02:40,,03/02/2025,,Carlos Mafra,Concluído,
[Fase 1] Relatórios de materiais,17 de maio de 2026 02:40,,,,,Não iniciado,
[Fase 4] Exclusão de resíduos,17 de maio de 2026 02:40,,,,,Não iniciado,
[Fase 1] Controle de estoque,17 de maio de 2026 02:40,,,,,Em andamento,
[Fase 3] Estrutura inicial do backend,17 de maio de 2026 02:40,,,,"caio.pelizch@sempreceub.com, Carlos Mafra",Concluído,
[Fase 4] Atualização de status,17 de maio de 2026 02:40,,,,,Não iniciado,
[Fase 3] Casdatro e edição de resíduos,17 de maio de 2026 02:40,,,,Carlos Mafra,Concluído,
[Fase 4] Testes do frontend,17 de maio de 2026 02:40,,,,caio.pelizch@sempreceub.com,Em andamento,
[Fase 1] Dashboard principal,17 de maio de 2026 02:40,,,,,Não iniciado,
[Fase 2] Estrutura do banco de dados,17 de maio de 2026 02:40,Média,,Alta,Juan  Talyson,Concluído,💬 Solicitação de recurso
"[Fase 1] Tela de cadastro ",17 de maio de 2026 02:40,,,,,Concluído,
[Fase 1] História de Usuários,17 de maio de 2026 02:40,,,,"Maria Elis de Almeida Braz, Gabriela Moraes Ludwig, Carlos Mafra",Concluído,
[Fase 1] Tela de login,17 de maio de 2026 02:40,,,,caio.pelizch@sempreceub.com,Concluído,
[Fase 1] Estrutura inicial do frontend,17 de maio de 2026 02:40,,,,,Concluído,💬 Solicitação de recurso
[Fase 1] Protótipos de Tela | Wireframe,17 de maio de 2026 02:40,,,,Maria Elis de Almeida Braz,Concluído,💬 Solicitação de recurso
[Fase 1] Diagrama de Caso de Uso,17 de maio de 2026 02:40,,,,,Concluído,💬 Solicitação de recurso
[Fase 1] Configuração do repositório,17 de maio de 2026 02:40,Pequeno,,Baixa,,Concluído,💬 Solicitação de recurso
[Fase 1] Perfil do Usuário,,,,,,Concluído,💬 Solicitação de recurso
,,,,,,,💬 Solicitação de recurso
,,,,,,,
